127.0.0.1 - - [31/Jul/2025:08:50:32 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:50:32 +0530] "GET /JSP_Servlet/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:50:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:50:38 +0530] "GET /JSP_Servlet/register.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:50:41 +0530] "GET /JSP_Servlet/login.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:51:48 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:53:10 +0530] "GET /JSP_Servlet/home.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:57:50 +0530] "GET /JSP_Servlet/home.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:58:00 +0530] "GET /JSP_Servlet/login.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:58:12 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:59:30 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [31/Jul/2025:08:59:53 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [31/Jul/2025:09:00:03 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [31/Jul/2025:09:07:52 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [31/Jul/2025:09:12:57 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [31/Jul/2025:09:14:15 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [31/Jul/2025:09:15:19 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2808
