127.0.0.1 - - [02/Aug/2025:08:52:02 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:52:02 +0530] "GET /JSP_Servlet/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:52:02 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:52:27 +0530] "GET /JSP_Servlet/login.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:52:42 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:53:00 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:53:16 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:56:22 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:56:26 +0530] "GET /JSP_Servlet/UserController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:57:32 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:57:33 +0530] "GET /JSP_Servlet/UserController?action=edit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:57:41 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:57:42 +0530] "GET /JSP_Servlet/UserController?action=edit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2025:08:58:30 +0530] "GET /JSP_Servlet/UserController?action=edit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:00:41 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:00:42 +0530] "GET /JSP_Servlet/UserController?action=edit&id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:00:46 +0530] "GET /JSP_Servlet/UserController?action=edit&id=3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:10:19 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:10:22 +0530] "GET /JSP_Servlet/UserController?action=edit&id=3 HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:10:27 +0530] "GET /JSP_Servlet/UserController?action=edit&id=4 HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:10:31 +0530] "GET /JSP_Servlet/UserController?action=edit&id=5 HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:11:12 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:11:13 +0530] "GET /JSP_Servlet/UserController?action=edit&id=6 HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:11:21 +0530] "GET /JSP_Servlet/UserController?action=edit&id=6 HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:22:41 +0530] "GET /JSP_Servlet/UserController?action=edit&id=6 HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:22:46 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:22:47 +0530] "GET /JSP_Servlet/UserController?action=edit&id=2 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:22:58 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:22:58 +0530] "GET /JSP_Servlet/home.jsp HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:23:03 +0530] "GET /JSP_Servlet/UserController?action=edit&id=7 HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:23:10 +0530] "POST /JSP_Servlet/UserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2025:09:23:10 +0530] "GET /JSP_Servlet/home.jsp HTTP/1.1" 200 2884
